strategy,seed,seat,winner,game_turns,first_road_global,first_road_own,first_settlement_global,first_settlement_own,first_city_global,first_city_own,first_dev_global,first_dev_own,first_lr_global,first_lr_own,first_la_global,first_la_own
full_ows,13,2,0,64,50,13,,,,,10,3,,,,
full_ows,13,3,0,64,,,,,,,15,4,,,,
full_ows,13,4,1,64,52,13,,,8,2,12,3,64,16,48,12
full_ows,14,1,1,125,65,17,69,18,85,22,13,4,,,45,12
full_ows,14,2,0,125,38,10,98,25,,,2,1,,,,
full_ows,14,3,0,125,3,1,119,30,,,51,13,23,6,,
full_ows,14,4,0,125,4,1,40,10,,,36,9,,,,
full_ows,15,1,1,129,13,4,97,25,25,7,53,14,69,18,,
full_ows,15,2,0,129,122,31,,,30,8,34,9,,,78,20
full_ows,15,3,0,129,83,21,119,30,55,14,11,3,99,25,43,11
full_ows,15,4,0,129,48,12,108,27,56,14,8,2,,,56,14
full_ows,16,1,1,161,25,7,125,32,101,26,5,2,109,28,,
full_ows,16,2,0,161,18,5,,,130,33,6,2,30,8,34,9
full_ows,16,3,0,161,47,12,139,35,103,26,39,10,,,,
full_ows,16,4,0,161,52,13,104,26,68,17,8,2,,,,
full_ows,17,1,1,121,1,1,109,28,121,31,5,2,77,20,57,15
full_ows,17,2,0,121,6,2,58,15,,,2,1,22,6,,
full_ows,17,3,0,121,23,6,,,,,7,2,,,47,12
full_ows,17,4,0,121,8,2,,,100,25,12,3,,,,
full_ows,18,1,0,83,9,3,49,13,,,9,3,,,77,20
full_ows,18,2,0,83,2,1,74,19,,,6,2,30,8,,
full_ows,18,3,1,83,19,5,63,16,11,3,27,7,83,21,,
full_ows,18,4,0,83,52,13,,,,,16,4,,,48,12
full_ows,19,1,0,160,25,7,,,61,16,1,1,,,61,16
full_ows,19,2,0,160,22,6,,,,,14,4,,,,
full_ows,19,3,0,160,3,1,119,30,51,13,99,25,47,12,,
full_ows,19,4,1,160,8,2,80,20,148,37,24,6,20,5,,
full_ows,20,1,0,128,69,18,101,26,53,14,21,6,,,,
full_ows,20,2,0,128,82,21,,,74,19,10,3,102,26,34,9
full_ows,20,3,0,128,59,15,,,75,19,27,7,,,,
full_ows,20,4,1,128,24,6,,,112,28,8,2,,,80,20
full_ows,21,1,0,146,13,4,,,,,5,2,57,15,,
full_ows,21,2,1,146,30,8,106,27,10,3,14,4,,,,
